ROADIE	Band hand
AREAS	Sectors
AREAWAY	Passage between buildings
ARECA	Betel nut tree
AREEL	Spinning
ARENA	Competitive field?
ARENA	Joe Louis in Detroit, e.g.
ARENAS	Court settings, perhaps
ARES	Father of Phobos and Deimos
ARES	Greek god of war
ARES	Hera's hawkish son
ARES	Hippolyta's father
AREST	Give it ___!
ARETE	Sharp mountain ridge
ARETHA	Singer at Barack's first inauguration
ARETO	In sooth, you ___ blame: Desdemona
ARETOO	That is indeed true of you, in kid-speak
AREWEALONE	Question for SETI
ARF	Lab sound?
ARF	Pound sound
ARF	Pound sound
ARF	Sound from a pound
ARG	Setting of 44-Down: Abbr.
ARGENTINE	Marine fish named for its silver color
ARGO	2012 film depicting 1980's "Canadian Caper"
ARGO	2012 film that won three Oscars
ARGO	Ben Affleck film set in Iran
ARGO	Castor and Pollux sailed on it
ARGO	Fake sci-fi film in a 2012 movie
ARGO	Jason's ship
ARGO	Oscar winner set in Iran
ARGO	Ship whose name means "swift"
ARGO	Vessel protected by Hera
ARGON	About 1% of the atmosphere
ARGON	Most abundant noble gas in the atmosphere
ARI	Entourage agent
ARI	Entourage agent
ARI	Bush press secretary Fleischer
ARI	Graynor of "The Guilt Trip"
ARI	Jackie's second spouse
ARI	John-John's stepdad
ARI	NPR's Shapiro
ARI	Name meaning "lion" in Hebrew
ARI	Onassis nickname
ARI	Onassis nickname
ARIA	Bereite dich, Zion from Bach's "Christmas Oratorio," e.g.
ARIA	2-Down piece
ARIA	Cabaletta, e.g.
ARIA	Diva's delivery
ARIA	Operatic song
ARIA	Piece for Pinza
ARIADNE	Key figure in a labyrinth escape
ARIAS	2-Down features
ARID	Extra dry
ARID	Unsuitable for farming
ARIES	Sign before Taurus
ARIETTAS	Bellini works
ARIGATO	Kyoto courtesy
ARIOSOS	Melodious solos
ARISE	Come into being
ARISE	Greet the day
ARISE	Make a stand?
ARISES	Crops up
ARIZONA	Tombstone site
ARK	300-cubit-long boat
ARK	Boat made of gopher wood
ARK	Temple cabinet
ARKIN	Best Supporting Actor Oscar winner for "Little Miss Sunshine"
ARKIN	Oscar winner for "Little Miss Sunshine"
ARLEEN	Sorkin of "Days of Our Lives"
ARLES	City of Provence
ARLES	Setting of van Gogh's "The Yellow House"
ARLES	Van Gogh's home in Provence
ARLES	Where "The Yellow House" was painted
ARLO	First name at Woodstock
ARLO	Woodstock performer Guthrie
ARLO	Woody's boy
ARLO	Woody's singing son
ARLO	Woody's son
ARM	Pitcher's pride
ARM	Pitcher's pride
ARM	Prepare for action
ARM	Radius setting
ARM	Shot spot
ARMADA	Fighting fleet
ARMANI	Brand promoted by Rafael Nadal and Rihanna
ARMATA	___ di Mare (Italian clothing brand)
ARME	Le sabre ou le pistolet
ARMED	Packing
ARMOIRE	Wardrobe relative
ARMOR	Samurai wear
ARMORER	Piece maker?
ARMORY	Weapons cache
ARMPIT	Deodorant target
ARMS	Magazine contents
ARMS	Treaty topic
ARMSDEAL	Hellfire sale, e.g.
ARMY	General assembly?
ARMYRATED	Having been assigned a 1-A (eligible to serve)?
ARNAZ	Ball's partner
ARNE	Rule, Britannia composer
ARNIE	Choreographer Zane
ARNIE	Owner of the title car in Stephen King's "Christine"
AROD	Designated hitter for the Yanks
AROD	Yankees DH
AROMA	Bakery enticement
AROMA	Influencing factor in many Cinnabon sales
AROMTIC	Like sachets
AROOWITHAVIEW	Opinionated outback critter?
AROSE	___ by any other name...
AROSE	Faced the day
AROUSAL	Wake-up call outcome
AROUSING	Alarm's job
ARP	Colleague of Ernst
ARP	Jean of Dada
ARR	Counterpart of DEP on a train schedule
ARR	DEP's counterpart
ARR	Train schedule abbr.
ARRAU	Chilean pianist
ARRAY	Impressive grouping
ARREST	Run in
ARRIVAL	Flight finish
ARRIVE	Make good
ARROW	Elevator button marking
ARROWS	They take a bow
ARROYO	Steep-sided gully
ARSENIO	Hall of talk shows
ARSON	Destructive crime
ART	A lie that makes us realize truth, according to Picasso
ART	Emerson's "jealous mistress"
ART	Fine subject
ART	Frame works
ART	Works in a gallery
ART	Works on walls, perhaps
ARTE	Museo contents
ARTERY	Blood line
ARTFUL	Like Dickens's Jack Dawkins
ARTGUM	Sketcher's eraser
ARTI	Class for budding painters
ARTIER	More bohemian
ARTISAN	Skilled craftsperson
ARTISANS	Skilled tradesmen
ARTIST	Oil producer?
ARTS	Dilettante's delights
ARTS	Expressive endeavors
ARTS	Newspaper section
ARTS	Newspaper section
ARTS	Sunday paper section
ARTSY	Affectedly highbrow
ARTY	A bit pretentious
ARTY	Like many a foreign film
ARTY	Like many a student film
ARTY	Like many student films
ARUBA	Resort off the coast of Venezuela
ARUBAN	Oranjestad native
ARULE	As ___ (generally)
ASA	___ matter of fact...
ASA	Candler who founded Coca-Cola
ASA	Simile segment
ASA	Smart ___ whip
ASABC	Easy ___
ASALE	Make ___ (do some business)
ASAP	Pronto
ASAP	Pronto
ASAP	Pronto, in memos
ASAWHOLE	In toto
ASC	Camera operators' org.
ASCETIC	Austerely simple
ASCOT	Clothing item that Brits call a day cravat
ASCOT	Fancy neckwear
ASCOT	Men's formalwear purchase
ASEAT	Save me ___ (movie request)
ASENSE	In ___ (sort of)
ASEPARATEPEA	John Knowles novel
ASET	At ___ time (prearranged)
ASEVER	Unsurprisingly
ASFAR	To such an extent
ASFOR	Regarding
ASGANDHI	... the Indian independence movement
ASH	Evil Dead hero
ASH	Arson evidence
ASH	Campfire remnant
ASH	Fireplace residue
ASH	Lucky tip?
ASH	Pale hardwood
ASH	Pompeii burier
ASHBY	Being There director Hal
ASHE	Tennis legend Arthur
ASHES	Arson aftermath
ASHGRAY	Color akin to slate
ASHORE	On land
ASHY	Gray
ASIA	China setting
ASIA	China setting
ASIA	Home to Korea and Kyrgyzstan
ASIA	Nearly 30% of Earth's land
ASIA	Nearly 30% of all land
ASIAGO	Pungent cheese
ASIAN	Like cinnamon trees
ASIAN	Like teak trees
ASIANFLUID	Miso soup or green tea?
ASICE	Cold ___
ASICE	Foreigner's "Cold ___"
ASICK	Take ___ day
ASICS	Nike rival
ASIDE	Actor's comment to the audience
ASIDE	To the right, say
ASIDES	Comments to the audience
ASIF	Don't you wish!
ASIF	In your dreams!
ASIN	B-boy connector
ASIN	Spelling-out words
ASIS	With no modifications
ASIS	Without modification
ASIS	eBay caveat
ASK	Fire away!
ASK	Try me
ASK	Make inquiries
ASK	Suggest as a price
ASKA	___ silly question...
ASKER	Questioning type
ASKFOR	Request
ASKOVER	Invite for dinner, say
ASLONGAS	If
ASNERS	TV's Ed and Jules
ASNIT	In ___ (stewing)
ASNO	This should come ___ surprise...
ASOF	Since
ASOFLATE	Recently
ASOFNOW	Currently
ASOK	Indian intern in "Dilbert"
ASOK	Telekinetic intern in "Dilbert"
ASONE	Without dissent
ASOPSFABLES	Many involve animals
ASORT	Of ___ (more or less)
ASOUR	God befriend us ___ cause is just: "Henry IV Part 1"
ASP	Egyptian adder
ASP	Egyptian slitherer
ASPECT	Characteristic
ASPEN	Site of the Winter X Games
ASPER	According to
ASPER	In keeping with
ASPHALT	Broadway makeup
ASPIN	Clinton's first secretary of defense
ASPIRE	Long
ASPS	Egyptian cobras
ASPS	Egyptian vipers
ASPS	Reptiles in hieroglyphics
ASRED	Comparable to a beet?
ASRICHASCROSUS	Loaded
ASS	Burro
ASS	Cart tower
ASS	Dunderhead
ASS	Fathead
ASS	Mule's father
ASS	Zebra's cousin
ASSAD	Head of a country in civil war
ASSAM	State in the Brahmaputra Valley
ASSANTE	Emmy winner as Gotti
ASSAULT	Battery partner
ASSENT	Nod, perhaps
ASSERT	Maintain
ASSES	Braying beasts
ASSESS	Evaluate
ASSESS	Put a dollar value on
ASSESS	Size up
ASSET	Balance sheet entry
ASSET	Balance sheet listing
ASSET	Brains, for example
ASSET	Figure in black?
ASSET	Grace or stamina, e.g.
ASSET	It may be liquid
ASSETS	Annual report listing
ASSISI	Francis's birthplace
ASSISI	Francis's home
ASSN	Org.'s kin
ASSN	Trade gp.
ASSNS	Professional gps.
ASST	___ prof.
ASTA	Another dog star
ASTA	Character good at sniffing out corpses
ASTA	Movie mystery pooch
ASTA	Nick's follower
ASTA	Tinseltown terrier
ASTAR	Prince song "Baby I'm ___"
ASTAR	Prince song "Baby I'm ___"
ASTER	Flower popular with butterflies
ASTERISK	Dagger alternative
ASTERN	Back in the navy
ASTHE	___ World Turns
ASTHETICS	Study of art and beauty
ASTLEY	Never Gonna Give You Up singer Rick
ASTO	Concerning
ASTO	Regarding
ASTON	___ Martin (British car)
ASTONISHED	Blown away
ASTOR	America's first multimillionaire
ASTOR	New York Public Library benefactor
ASTR	Carl Sagan's sci.
ASTR	Carl Sagan's sci.
ASTR	Palomar sci.
ASTRO	Chevy van succeeded by the Traverse
ASTRO	Craig Biggio, for his entire major league career
ASTRO	Nolan Ryan, once
ASTROS	Baseball team with a mascot named Orbit
ASTUDENT	Potential valedictorian
ASU	Sun Devils' sch.
ASU	Tempe sch.
ASUIT	Bring ___ against (take to court)
ASWELL	Additionally
ASWESPEAK	Right now
ASYOU	___ Like It
ATA	Words before profit or loss
ATA	Words with premium or discount
ATACAMA	Desert of western Chile
ATAD	Not very much at all
ATAD	Slightly
ATAD	Slightly
ATALE	Thereby hangs ___
ATALE	Thereby hangs ___
ATALL	Even a little
ATALL	Even a little
ATALL	Even a little
ATARI	Don't watch television tonight, play it! advertiser
ATARI	Big name in arcade games
ATARI	Lunar Lander producer
ATARI	Maker of Centipede and Asteroids
ATATIME	Simultaneously
ATBAT	Trying to homer, perhaps
ATBAT	Up
ATBAT	Up
ATBAY	Cornered
ATBAY	Unable to retreat or escape
ATBEST	Under ideal circumstances
ATBEST	Under optimal conditions
ATC	JFK tower worker
ATE	Had a meal
ATE	Satisfied a rumbling stomach
ATEAM	Elite group
ATEAM	Starting group of players
ATEAR	What a sad person might shed
ATEASE	Comfortable
ATEE	Done to ___
ATEE	To ___ (perfectly)
ATEIT	Took the loss
ATEOUT	Made no use of the kitchen, perhaps
ATEOUT	Skipped the family Thanksgiving dinner, perhaps
ATEUP	Consumed completely
ATFAULT	Culpable
ATHAND	Nearby
ATHAND	Readily accessible
ATHENA	Favorite child of Zeus
ATHENA	The owl was her mascot
ATHENS	2004 Olympics host
ATHENS	Two-time Summer Olympics host
ATIC	Finish for problem or symptom
ATIT	Arguing
ATIT	Arguing
ATIT	Arguing
ATIT	Arguing
ATIT	Bickering
ATKINS	Big name among losers
ATL	Code for the world's busiest airport
ATL	Code for the world's busiest airport
ATL	Madeira Isl. surroundings
ATLANTA	Summer Games host between Barcelona and Sydney
ATLANTIC	Sight from Cape Hatteras
ATLAS	Heavens holder
ATLAS	Holder of the heavens
ATLAS	Titan for whom a North African mountain range is named
ATLAST	Relieved remark
ATLAW	Attorney chaser?
ATLAW	Attorney follower
ATLEAST	Minimally
ATM	Convenience store convenience
ATM	Convenience store convenience
ATM	Money machine at the bank
ATME	Don't look ___!
ATME	Don't look ___!
ATMOST	And no more
ATMS	$ dispensers
ATMS	They pass the bucks
ATO	From ___ Z
ATOE	Stick ___ in the water
ATOM	Bond bit
ATOM	Cyclotron bit
ATOM	Radical component
ATOMIC	Adjective used for really spicy buffalo wings
ATONAL	Lacking a key
ATONCE	Without delay
ATONE	Do as the rueful do
ATONE	Make amends
ATOP	Like Santa's sleigh, vis-a-vis the house
ATOP	Resting on
ATOP	Standing on
ATPAR	Face-valued, as stocks
ATREST	Not moving
ATRIA	Hotel features
ATRIA	Parts of hearts
ATRIA	Parts of hearts
ATRIP	Free of the bottom, as an anchor
ATROCIOUS	Appallingly bad
ATSEA	Between ports
ATSEA	Bewildered
ATSEA	Far from the coast
ATSEA	Flummoxed
ATSEVENTEEN	Song performed on the first episode of "Saturday Night Live"
ATSTAKE	On the line
ATT	Hearing aide: Abbr.
ATTA	Lead-in to boy or girl
ATTA	Start for boy or girl
ATTEND	Not cut
ATTHATGAME	See 17-Across
ATTHEFORE	Leading
ATTIC	Rarely visited web site?
ATTIC	Room at the top
ATTIC	Room under the roof
ATTIC	Upper floor
ATTICS	Web sites?
ATTN	Routing abbr.
ATTS	Bar assn. members
ATTS	Lawyers: Abbr.
ATTY	Justice Dept. worker
ATTYS	Pleading figs.
ATV	Suzuki product
ATVS	Off-roaders
ATWAR	Fighting
AUDEN	The Age of Anxiety poet
AUDI	Company with a four-ring logo
AUDIO	Broadcast component
AUDIO	TV signal part
AUDIT	Check of the books
AUDIT	Sit in on, as a class
AUGIE	March in a Saul Bellow novel
AUGUSTA	Third-smallest state capital
AULD	Adjective in a seasonal song
AUNT	Cousin bearer
AUNT	Mother's sibling
AUNT	Talia Shire, to Sofia Coppola
AUNT	Volunteer babysitter, often
AUNTS	Doters on daughters, often
AUNTS	Patty and Selma, to Bart
AURA	NASA satellite that monitors the ozone layer
AURA	Spiritualist's sight
AURA	Surrounding glow
AURAL	Heard
AURALEE	Civil War song from which "Love Me Tender" was adapted
AURALEE	Civil War song from which "Love Me Tender" was adapted
AURAS	Surrounding glows
AURORAE	Colorful atmospheric displays
AUS	Booderee Natl. Park setting
AUSSI	Also, in Aquitaine
AUSSIE	Mate from Melbourne
AUTEUR	Visionary director
AUTO	Jam ingredient
AUTOBIOGRAPHY	Christine?
AVA	Gardner who was married to Mickey Rooney, Artie Shaw and Frank Sinatra
AVA	Mickey's first and Frank's second wife
AVAIL	Help
AVAILED	Was useful
AVANTGARDEEATER	Fan of cutting-edge cuisine?
AVAR	Scrooge's fault
AVAS	Gardner and others
AVAST	Cease! at sea
AVATAR	2009 film with subtitles for Na'vi
AVATARZAN	Film about a race of blue humanoids swinging through the jungle?
AVE	Forum greeting
AVEC	Opposite of "sans"
AVENGES	Rights, as wrongs
AVER	Assert to be the case
AVER	Declare
AVER	Declare with certainty
AVERS	Alleges
AVERS	Declares definitively
AVERSE	Ill-disposed
AVERSE	Resistant
AVERT	Forestall
AVERT	Prevent
AVERTED	Warded off
AVERTS	Staves off
AVES	Birds, to biologists
AVEZ	...the United Farm Workers
AVIA	Puma rival
AVIA	Reebok rival
AVIAN	Bird-based
AVIANCA	Airline to Cartagena
AVIATE	Take to the skies
AVIATOR	Banking expert
AVIATORS	Some sunglasses
AVID	Zealous
AVIS	Alamo rival
AVIV	Tel ___
AVOID	Steer clear of
AVON	View from the Royal Shakespeare Theatre
AVOW	Declare openly
AVOW	Maintain
AVOW	Openly confess
AVOWAL	Frank admission
AVOWAL	Open statement
AVOWED	Self-confessed
AWAIT	Anticipate
AWAKE	Not out
AWAKE	Up
AWARE	Hip, so to speak
AWARE	In the know
AWARE	Knowing
AWAYTEAM	Visitors
AWCMON	You've gotta be kidding!
AWE	Dazzle
AWE	Dumbfound
AWE	Dumbstruck reaction
AWE	Dumbstruck state
AWE	Floor
AWE	Grand Canyon inspiration
AWE	Machu Picchu inspiration
AWE	Reverent wonder
AWE	Reverential feeling
AWE	Strike dumb
AWES	Dazzles
AWES	Floors
AWFUL	Horrific
AWFUL	Wretched
AWL	Saddler's tool
AWLS	Punching items
AWOKE	Came to
AWOL	Classification for a GI not on his post
AWOL	Missing from one's post
AWOL	Missing, in a way
AWRY	Cockeyed
AWW	Adorable!
AXE	Cut abruptly
AXE	Cut unceremoniously
AXE	Rail splitter
AXEL	Figure skater's leap
AXEL	Figure skating maneuver
AXEL	Midori move
AXEL	Skating rink jump
AXEL	Spinning jump named for a Norwegian skater
AXEMEN	Corporate firers
AXES	Cuts ruthlessly
AXES	Sacks
AXLE	Bar on a train
AXLE	Car bar
AXLE	Grease target
AXMAN	Company firer
AXMAN	Guitarist, in slang
AYE	Parliamentary answer
AYE	Parliamentary vote
AYE	Reply to the captain
AYE	Supporter's answer
AYE	Vote found in three other answers
AYEAYE	Answer from a mate
AYES	Bill's supporters
AYES	Supporters' answers
AYKROYD	Tandy's "Driving Miss Daisy" son
AYN	Rand Rand Paul has read
AYRES	Kildare's portrayer in 1940s films
AZTEC	Celebrant of a December festival called Atemoztli
AZUL	Color mixed with amarillo to make verde
AZURE	Blue hue
BAA	Bellwether sound
BAABAA	Black sheep's sound
BABA	___ O'Riley
BABA	Rich sponge cake
BABAR	Elephant of kiddie lit
BABAR	He begins as "a very good little elephant"
BABE	Movie based on the children's book "The Sheep-Pig"
BABES	Epitomes of innocence
BABS	The Way We Were singer, familiarly
BABS	Yentl star, familiarly
BABYRUTH	Snickers rival
BACH	Brandenburg Concertos composer
BACKER	Kickstarter supporter
BACKSIGHED	Football player sounded wistful?
BACONHILL	Heaping mound of breakfast meat?
BAD	Abysmal
BAD	Criminal
BAD	One-star
BAD	Word to a misbehaving dog
BADE	Commanded
BADE	Ordered, in olden days
BADEN	Austrian spa town
BADSIDE	You don't want to get on somebody's
BAEZ	She followed Guthrie at Woodstock
BAG	Glad offering
BAGEL	Well-rounded breakfast?
BAGEND	Home of Bilbo and Frodo
BAGGER	Checkout aide
BAGHDAD	Iraq's capital
BAGS	Carousel sights
BAH	Phooey!
BAH	Dismissive exclamation
BAHA	Who Let the Dogs Out? band ___ Men
BAHAMA	Grand island east of Florida
BAHS	Contemptuous cries
BAHS	Cries of contempt
BAHS	Exclamations from Ebenezer
BAHS	Scrooge exclamations
BAHTS	Thai money
BAIL	Can opener?
BAIL	Criminal charge?
BAILEY	Castle's protective wall
BAILSMAN	Bond poster
BAINES	Lyndon Johnson's middle name
BAKE	Put in a tandoor
BAKE	Tan too long
BALEFUL	Like a hayloft?
BALER	John Deere machine
BALL	Good time
BALOO	Bear who teaches 21-Across
BALTIC	Second avenue on a Monopoly board
BAMA	The Crimson Tide, familiarly
BAN	Make illegal
BANA	Eric of "Troy"
BANAL	Boringly unoriginal
BANANAS	Fruit in some smoothies
BANANASEAT	Fruity bicycle part
BANANASHVILLE	Film about a Latin American revolution joined by country singers?
BANC	En ___ (in full court)
BANC	Judges' seat, in court
BANDO	Railroad between Illinois and Atlantic Avenues
BANGERSANDASH	Result of tossing firecrackers into the fireplace?
BANJOS	They're plucked in Appalachia
BANNERS	Old army identifiers
BANS	Embargoes
BANYAN	National tree of India
BAR	Forbid entry to
BAR	Tender spot?
BAR	You might have a shot at it
BARAK	Prime minister between Netanyahu and Sharon
BARD	Celtic minstrel
BARELYBARLEY	Crop hardly good enough for a brewer?
BARES	Uncovers
BARETTA	1970s Robert Blake cop show
BARGAINDEBASEMENT	Making a store sale feel really cheap?
BARKERS	Come one, come all callers
BARKIN	Emmy and Tony winner Ellen
BARN	Stock holder?
BARON	Rank below viscount
BARWAREFOOT	Base of a goblet?
BAS	How relief begins, sometimes
BAS	Humanities degs.
BAS	___-relief
BASE	Highly unsophisticated
BASE	Private home?
BASEBALLUMPIRES	Their business involves diamonds
BASELESS	Unfounded
BASES	Four of diamonds
BASETEN	Like common logarithms
BASIE	Swing legend
BASIL	Pesto ingredient
BASIN	Washroom sight
BASS	Striper, e.g.
BASSDRUM	Place for a band name, often
BASSI	Lowest parts
BASSI	Plishka and Pinza
BASTE	Put in stitches
BAT	Cricket need
BAT	Slugger's need
BATAAN	Besieged peninsula in WWII's Pacific theater
BATCH	Cookie-baking quantity
BATES	Downton Abbey valet
BATH	Word after blood or mud
BATHOS	Mawkishness
BATIK	Dyeing art
BATIK	Dyeing technique employing wax
BATON	Leading indicator?
BATS	Clubs on diamonds
BATTLE	General assembly?
BATTLESHIPGRAY	Kin of platinum
BAUXITE	Alcoa shipment
BAWL	React to a dropped pacifier, say
BAWLS	Reacts to a dropped pacifier, perhaps
BAY	Sight from the Golden Gate Bridge
BAYOU	Home to crawfish
BAYS	Howls, at the moon perhaps
BBC	EastEnders network
BBC	English channel
BCS	Former NCAA football ranking system
BEACHBOTHER	Sand in one's bathing suit?
BEAM	Construction piece
BEAM	Ship's breadth
BEAMMOVIES	Documentaries about skyscraper construction?
BEAN	Merchant Leon Leonwood
BEAN	Noodle
BEANBALL	*Head banger?
BEANED	Hit on the head
BEANERS	Pitches to the noggin
BEANY	Cecil's pal on 1960s TV
BEAR	Market pessimist
BEARCUB	Kodiak kid
BEARD	Lincoln feature
BEARHUG	Hearty show of affection
BEARISH	Anticipating a decline
BEARS	Soldier Field footballers
BEAT	Dead on one's feet
BEAT	Keep a rhythm
BEAT	Recipe verb
BEATENMTH	Well-traveled route
BEATIT	1984 Grammy winner for Record of the Year
BEBE	Neuwirth of "Madam Secretary"
BECHAMEL	Sauce that becomes Mornay sauce if cheese is added
BED	Nap sack
BEDEVIL	Plague
BEDMATES	Snoring victims
BEDSIDEALARMS	Nightstand noisemakers
BEE	Buzzy body
BEE	Comb maker
BEE	Garden buzzer
BEE	Garden visitor
BEE	Pollen collector
BEE	Sting's producer?
BEE	Worker in the fields
BEE	Worker or queen
BEEFING	Petulant complaints
BEENE	Eight-time winner of the Coty Award
BEEPER	Outmoded belt attachment
BEER	Corona, e.g.
BEER	Kegger quaff
BEERCAN	One with a tab in a bar?
BEERSTEIN	Rathskeller vessel
BEERTAP	Draft source
BEES	Honey bunch
BEES	Honey bunch?
BEET	Red food coloring source
BEET	Red root
BEET	Root for the cook
BEETHOVENSS	The "Pastoral Symphony"
BEETLE	Firefly, for one
BEEWELLINGTON	Waterproof footwear for a worker?
BEFORE	In the past
BEGET	Give rise to
BEGUN	Started
BEHAVE	Nanny's warning
BEHEST	Insistence
BEIGES	Linen shades
BELIE	Depict deceptively
BELLE	Southern charmer
BELLLAP	Cycling race climax
BELLLYRA	Glockenspiel that's played upright
BELOW	Less than
BELOW	Subordinate to
BELTRAN	Three-time Gold Glove winner Carlos
BEMAD	Fume
BEME	I've Gotta ___ (Sammy Davis Jr. hit)
BENATAR	Love Is a Battlefield singer
BENEATHA	Walter's sister in "A Raisin in the Sun"
BENES	Friend of Costanza and Kramer
BENHUR	1959 film that won 11 Oscars
BEREAVE	Take a loved one from
BERG	Castoff from an ice shelf
BERG	It may have a freezing point
BERG	North Atlantic hazard
BERMUDA	Territory formerly known as Somers Islands
BERN	Swiss capital
BERRA	Larsen's catcher in his World Series perfect game
BESIDES	Anyway
BESIDES	In any case
BESOTS	Intoxicates
BESS	I Loves You, Porgy singer
BESS	Mamie's White House predecessor
BESTCASE	Optimum, as a scenario
BESTOF	Compilation album type
BESTS	Triumphs over
BESTS	Triumphs over
BET	Cash on hand?
BET	Enter the pool
BETA	Early release
BETA	Second Greek letter
BETAMX	Loser to VHS
BETATESTS	Prerelease software trials
BETE	___ noire
BETEL	Asian plant with chewable leaves
BETOKEN	Indicate
BETSYROSS	Her great-aunt Sarah taught her to sew
BEY	Ottoman governor
BHUTTO	Prime minister assassinated in 2007
BIALIK	Mayim of "The Big Bang Theory"
BIAS	Prejudice
BIB	Feeding-time need
BIB	Marathoner's wear
BIBI	Netanyahu nickname
BID	Contractor's offer
BIDUP	Make a lot costlier
BIEBER	Artist of the Year at the American Music Awards in 2010 and 2012
BIEN	Tres ___!
BIEN	Good for Guillaume
BIER	Stand for a funeral
BIER	Stand for a solemn ceremony
BIG	Film for which Tom Hanks got his first Oscar nomination
BIG	Titanic
BIGDEAL	Well, whoop-de-doo!
BIGEYES	2014 Tim Burton film
BIGPAPI	Nickname of slugger David Ortiz
BIGSMILE	Request from a photographer
BIKE	Tour de France transport
BIKE	Velodrome sight
BIKE	Velodrome vehicle
BILE	Peevishness
BILGES	Hull bottoms
BILKS	Takes to the cleaners
BILLBOARDC	The Hot 100, e.g.
BIN	Container for recyclables
BING	Bob's frequent co-star
BINGO	Precisely!
BIO	Book flap feature, often
BIOCHIP	It may use DNA instead of silicon
BIODOME	Enclosed ecosystem
BIONICBORDER	National boundary guarded by cyborg technology?
BIRDER	Spotted owl spotter, perhaps
BISCAY	Region of northern Spain
BIT	Boring item
BIT	Drill insert
BIT	Drill insertion
BIX	Jazz legend Beiderbecke
BIZARRE	Beyond strange
BLAB	Be indiscreet
BLACK	Jack of "School of Rock"
BLACKASHBACKLASH	Adverse reaction to plantings of dark-barked trees?
BLACKMAILLETTER	*Item that might consist of bits cut out of magazines?
BLACKTOPPED	Paved over, and what each half of the answers to the starred clues can be
BLAHS	Blue state
BLAME	Apply a charge to, maybe
BLANDBLUBBER	Whale fat that could use some seasoning?
BLARE	Play loud
BLASE	Indifferent
BLASE	Indifferent
BLASTS	Rollicking parties
BLAT	Sour note from a trumpet
BLATS	Brassy tones
BLEAK	Desolate and dreary
BLED	Extorted money from
BLEED	Extort money from
BLEEP	Censor, on TV
BLIGE	Singer Mary J.
BLIMP	Source of some overhead coverage
BLINDCOPY	Email to someone whose address is not visible to other recipients
BLINK	2005 Malcolm Gladwell book
BLIP	Inconsequential deviation
BLIP	It's on the radar
BLOC	Coalition
BLOC	Naysayers, perhaps
BLOCKERBROOM	Item for a fullback who thinks he's playing Quidditch?
BLONDEALE	Lager's kin
BLOOMMOON	Part of a florist's model of the solar system?
BLOOP	Weakly hit fly ball
BLOT	Reputation tarnisher
BLOW	Severe setback
BLOWERBLIP	Electronic sound from a hand dryer?
BLT	Diner order
BLU	___-ray disc
BLUE	Bummed out
BLUE	Gloomy
BLUE	See 31-Down
BLUEPERIOD	Roughly 1901-1904, for Picasso
BLUERIBBON	Wrapping for a state fair competitor?
BLURTS	Lets slip
BMI	Fig. calculated by dieters
BMOVIE	Unlikely Best Picture nominee
BMW	Mini's parent company
BNAI	___ B'rith
BOA	Fluffy accessory
BOA	It'll take your breath away
BOA	Wrap with feathers
BOAC	Airline mentioned in "Back in the U.S.S.R."
BOACONSTRICTORS	They might have a crush on you
BOARBLOCKS	City divisions inhabited by tusked animals?
BOARD	CEO appointer
BOAST	Egotistical utterance
BOATER	Straw hat
BOB	Cratchit who works for Scrooge
BOB	Plumb line attachment
BOB	Shilling, informally
BOBBYORR	Scorer of the winning goal in the 1970 Stanley Cup Finals
BOCCI	Lawn game
BODEGA	Barrio business
BODEGA	Neighborhood store
BODEGA	Urban grocery store
BOER	Afrikaner's ancestor
BOG	Swampy area
BOGIE	Casablanca star, familiarly
BOGS	Marshy areas
BOHRATOM	Physics model proposed in 1913
BOIL	Heat until bubbling
BOILOVER	Become uncontrollably angry
BOISE	Idaho's largest city
BOISE	Where the Idaho Statesman is published
BOISESCOUT	Person doing recon of a city on the Oregon Trail?
BOITANO	Gold medalist in figure skating at the Calgary Olympics
BOL	Landlocked S. Amer. country
BOLEROS	Foot-stamping dances
BOLO	String tie
BOMB	Foul play?
BOMBARDED	Shelled
BON	Good for Gascons
BON	Good, to Guillaume
BONE	Anvil, e.g.
BONE	Hair accessory for Pebbles
BONE	Joint component
BONE	Trapezium, e.g.
BONE	White shade
BONE	White shade
BONEBOUNCE	Result of dropping a dog toy?
BONGOS	Beatniks beat them
BONK	Knock on the noggin
BONO	With or Without You singer
BONSAI	Dwarf tree
BONUS	December check
BONUS	Worker's reward
BOO	Halloween holler
BOO	Halloween shout
BOO	React to poor sportsmanship
BOO	Scary shout
BOO	Show disrespect, in a way
BOOBS	Chowderheads
BOOBYTRAP	Surprise for the unwary
BOOEDTIMESTORIES	Vocally objected to a newsmagazine's articles?
BOOM	Prosperous period
BOON	Stroke of luck
BOONE	Last name of baseball's Bob, Bret and Aaron
BOOP	Fictional flapper Betty
BOOS	Reacts to a bad call
BOOS	Reacts to a bad call
BOOS	Reacts to a bad call
BOOST	Amplify
BOOST	Hike
BOOST	Shoplift, in slang
BOOT	Get rid of
BOOTHS	Some diner seating
BOOTLEG	Unlicensed, in a way
BOOZY	Loaded
BOP	Monk's music
BORA	Repeated, a Polynesian island
BORDEN	Condensed milk pioneer
BORDER	With 25-Down, territorial conflicts (and an alternate title for this puzzle)
BORE	Snoozefest
BORED	Hardly absorbed
BORIC	Powdered acid used as an insecticide
BORIS	Horror star Karloff
BORIS	London mayor Johnson
BORIS	Writer Pasternak
BORN	Delivered
BORNEO	Asia's largest island
BORNEO	Island shared by three nations
